Дата,Индекс,1 месяц,3 месяца,6 месяцев
4/2/26,4.21345029898208,15.06824529690550,15.63388546196400,16.44783899342540
4/1/26,4.21173214304756,15.08121635802460,15.64472093976440,16.45918956364530
3/31/26,4.21001699365864,15.09504991234470,15.65586662426980,16.47178876821750
3/30/26,4.20830830519062,15.09808800538130,15.66766867904630,16.47422568603740
3/29/26,4.20660974666221,15.10440288028200,15.68049536263000,16.48773788998510
3/28/26,4.20491118813381,15.11116881767900,15.69309509290660,16.50112084557360
3/27/26,4.20321262960541,15.13103135072650,15.70570576121290,16.51451626167330
3/26/26,4.20151245593488,15.14836617662350,15.71816543608490,16.52784028107240
3/25/26,4.19979801783993,15.16100627500050,15.72889487969590,16.54038828551930
3/24/26,4.19808772840099,15.17689684975490,15.74054759254830,16.55257848659580
3/23/26,4.19639882158759,15.19823333835460,15.75646963987630,16.56590485969690
3/22/26,4.19470048232025,15.21662219399770,15.76791518480060,16.57894501020170
3/21/26,4.19300214305291,15.23502645959520,15.78005635201880,16.59185605148860
3/20/26,4.19130380378556,15.25344615451930,15.79220805918080,16.60477908562770
3/19/26,4.18960615241586,15.27006022904550,15.80443950373880,16.61774996826800
3/18/26,4.18791262939093,15.28739688727910,15.81690210227870,16.63042274612760
3/17/26,4.18621979092206,15.30039955187920,15.82936506942710,16.64279735612990
3/16/26,4.18452190682780,15.30798450395200,15.84125138262980,16.65463459440910
3/15/26,4.18282151236909,15.32240830455940,15.85293114373040,16.66612613962060
3/14/26,4.18112111791037,15.33684415289500,15.86507409938240,16.67928065700660
3/13/26,4.17942072345165,15.35129206406240,15.87722763641680,16.69244746541800
3/12/26,4.17770843528201,15.36176688284860,15.88819194102100,16.70500491591630
3/11/26,4.17598884316385,15.36971334497570,15.89927192637420,16.71708465886660
3/10/26,4.17423223474945,15.36285051199520,15.90758205876270,16.72731105315430
3/9/26,4.17247401912390,15.35849689892890,15.91900256884230,16.74148195065730
3/8/26,4.17071580349835,15.35633335432110,15.93173363317530,16.75543555487620
3/7/26,4.16895758787279,15.35416799191110,15.94410312801250,16.76930811849310
3/6/26,4.16719937224724,15.35200080941320,15.95648378763290,16.78319415285750
3/5/26,4.16544189813132,15.35633516728640,15.96895066468950,16.79713256571480
3/4/26,4.16369200675095,15.36608752057780,15.98107161800840,16.81155049430630
3/3/26,4.16194854939971,15.38234158516970,15.99157676066860,16.82620871206090
3/2/26,4.16020924000238,15.40004068815890,16.00277483835830,16.84110725944920
3/1/26,4.15846756169176,15.41915224501880,16.01365937504620,16.85584414989430
2/28/26,4.15672588338114,15.49141036272130,16.04339391017870,16.90909387704980
2/27/26,4.15498420507052,15.50251775222850,16.05368088843630,16.92336116651460
2/26/26,4.15324894352563,15.51525871745280,16.06475946396560,16.93810109889870
2/25/26,4.15151440668448,15.52658390718420,16.07595138654570,16.95278307667840
2/24/26,4.14977377554739,15.53616682298150,16.08646527855640,16.96701063874190
2/23/26,4.14803719308385,15.54692232497110,16.09714651555490,16.98146221648540
2/22/26,4.14630061062032,15.56171597400550,16.10783725316490,16.99592784195410
2/21/26,4.14456402815678,15.57662724314000,16.11853750406600,17.01047461708140
2/20/26,4.14282744569324,15.59198267254850,16.12927861216340,17.02474862541220
2/19/26,4.14109726122109,15.60929861613120,16.14103762094560,17.03943651174650
2/18/26,4.13936893293238,15.62975768111570,16.15426688622290,17.05383044601130
2/17/26,4.13765492355035,15.65436333126050,16.16885351451670,17.06959784305230
2/16/26,4.13595295058274,15.68246254625980,16.18530778654490,17.08600763678120
2/15/26,4.13422707869623,15.69823538739290,16.19938982638440,17.10118786285850
2/14/26,4.13250120680972,15.71085980125860,16.21348459021480,17.11609557148670
2/13/26,4.13077533492321,15.71184004667470,16.22716853498180,17.13073067432040
2/12/26,4.12905018381901,15.72229600637360,16.23972199119210,17.14158971388440
2/11/26,4.12732575319610,15.73899385540800,16.25024007152100,17.15540027529480
2/10/26,4.12561108141240,15.75852850854640,16.26426456653050,17.17052651647670
2/9/26,4.12388695771446,15.77534525451760,16.27744352601320,17.18517341268250
2/8/26,4.12215597781757,15.79019193012990,16.28994737912640,17.19947600808800
2/7/26,4.12042499792068,15.80505144977800,16.30246249598340,17.21385960832920
2/6/26,4.11869401802379,15.81992383013930,16.31422640826450,17.22820611920210
2/5/26,4.11694347110129,15.82913781164990,16.32338890188540,17.24137265852840
2/4/26,4.11518352548943,15.83563449327690,16.33128589849180,17.25507138561690
2/3/26,4.11340968799658,15.83810691450050,16.33779490416780,17.26884230392730
2/2/26,4.11163548912113,15.84047660049250,16.34427342446180,17.28260791141860
2/1/26,4.10985459555518,15.84090459715450,16.35008484576540,17.29603585834980
1/31/26,4.10807370198923,15.84133296520880,16.35536627819970,17.31025099571720
1/30/26,4.10629280842327,15.84176170513050,16.36034388869110,17.32602128244700
1/29/26,4.10450594268548,15.84045459075880,16.36577406573650,17.34191083430180
