date,CPI_index,CPI_mm_raw,CPI_mmSA,CPI_mmSA_t-1,CPI_mmSA_3mMA_t-1,CPI_exp,CPI_exp_3mSA,USD_vol,USD_vol_t-1,CPI_mmSA,coreCPI_mmSA,coreCPI_mmSA_t-1
2014-01-31,100.59,0.5900000000000034,0.29,0.32,0.49000000000000016,13.037735849056604,11.807934316880315,0.4914781668502257,,0.29,0.3,0.4
2014-02-28,100.7,0.7000000000000028,0.58,0.29,0.36666666666666686,11.795154185022026,12.070733459635406,0.5840871056473943,0.4914781668502257,0.58,0.5,0.3
2014-03-31,101.02,1.019999999999996,0.97,0.58,0.3966666666666668,11.795154185022026,12.070733459635406,0.7904796862135202,0.5840871056473943,0.97,0.75,0.5
2014-04-30,100.9,0.9000000000000057,0.92,0.97,0.6133333333333334,11.522132796780683,12.11834094361977,0.5826855513145377,0.7904796862135202,0.92,0.87,0.75
2014-05-31,100.9,0.9000000000000057,0.9,0.92,0.8233333333333334,12.67274472168906,11.996677234497257,0.5258952799853502,0.5826855513145377,0.9,0.93,0.87
2014-06-30,100.62,0.6200000000000045,0.65,0.9,0.9300000000000002,11.720956719817767,11.971944746095836,0.5416992751961854,0.5258952799853502,0.65,0.89,0.93
2014-07-31,100.49,0.4899999999999949,0.46,0.65,0.8233333333333336,11.348780487804879,11.914160643103903,0.6775256230850714,0.5416992751961854,0.46,0.75,0.89
2014-08-31,100.24,0.23999999999999488,0.67,0.46,0.6700000000000003,11.830396475770925,11.633377894464523,0.5297954836133112,0.6775256230850714,0.67,0.67,0.75
2014-09-30,100.65,0.6500000000000057,0.93,0.67,0.5933333333333335,12.459183673469388,11.879453545681733,0.7315329012114546,0.5297954836133112,0.93,0.71,0.67
2014-10-31,100.82,0.8199999999999932,0.84,0.93,0.6866666666666669,13.817269076305221,12.702283075181844,1.2050690597576772,0.7315329012114546,0.84,0.78,0.71
2014-11-30,101.28,1.2800000000000011,1.15,0.84,0.8133333333333335,13.146153846153846,13.140868865309486,1.8239242257605703,1.2050690597576772,1.15,0.96,0.78
2014-12-31,102.62,2.6200000000000045,2.34,1.15,0.9733333333333335,15.462264150943396,14.141895691134152,4.612299185735176,1.8239242257605703,2.34,2.57,0.96
2015-01-31,103.85,3.8499999999999943,3.52,2.34,1.4433333333333334,16.57123287671233,15.05988362460319,2.9929734445143903,4.612299185735176,3.52,3.42,2.57
2015-02-28,102.22,2.219999999999999,2.08,3.52,2.3366666666666664,18.072327044025158,16.70194135722696,1.8207573922143605,2.9929734445143903,2.08,2.37,3.42
2015-03-31,101.21,1.2099999999999937,1.17,2.08,2.6466666666666665,15.659763313609467,16.767774411448986,1.493376459461321,1.8207573922143605,1.17,1.42,2.37
2015-04-30,100.46,0.45999999999999375,0.49,1.17,2.2566666666666664,13.967980295566502,15.900023551067042,2.1302337421344966,1.493376459461321,0.49,0.78,1.42
2015-05-31,100.35,0.3499999999999943,0.38,0.49,1.2466666666666668,14.32905982905983,14.652267812745265,1.3494492690663265,2.1302337421344966,0.38,0.63,0.78
2015-06-30,100.19,0.18999999999999773,0.24,0.38,0.6800000000000002,14.994845360824742,14.430628495150359,1.467624978606111,1.3494492690663265,0.24,0.54,0.63
2015-07-31,100.8,0.7999999999999972,0.6,0.24,0.3700000000000001,13.9452,14.423035063294856,1.1434198444698884,1.467624978606111,0.6,0.52,0.54
2015-08-31,100.35,0.3499999999999943,0.84,0.6,0.4066666666666668,14.76112759644,14.567057652421582,1.767554128223691,1.1434198444698884,0.84,0.8,0.52
2015-09-30,100.57,0.5699999999999932,0.86,0.84,0.5600000000000002,16.007082152974505,14.904469916471504,1.2927574476354635,1.767554128223691,0.86,0.68,0.8
2015-10-31,100.74,0.7399999999999949,0.78,0.86,0.7666666666666667,15.260416666666666,15.342875472027059,1.341984407423951,1.2927574476354635,0.78,0.64,0.68
2015-11-30,100.75,0.75,0.66,0.78,0.8266666666666668,15.84010152284264,15.702533447494602,1.0548693483414724,1.341984407423951,0.66,0.54,0.64
2015-12-31,100.77,0.769999999999996,0.54,0.66,0.7666666666666669,16.443444730077122,15.847987639862142,0.9762512245802459,1.0548693483414724,0.54,0.58,0.54
2016-01-31,100.96,0.9599999999999937,0.64,0.54,0.6600000000000003,16.714285714285715,16.33261065573516,2.1520589481115526,0.9762512245802459,0.64,0.71,0.58
2016-02-29,100.63,0.6299999999999955,0.5,0.64,0.6133333333333336,15.74,16.29924348145428,1.8392320752173408,2.1520589481115526,0.5,0.69,0.71
2016-03-31,100.46,0.45999999999999375,0.43,0.5,0.5600000000000002,14.74,15.731428571428571,1.1470520855375261,1.8392320752173408,0.43,0.56,0.69
2016-04-30,100.44,0.4399999999999977,0.44,0.43,0.5233333333333335,14.5987,15.026233333333332,1.0702276174499414,1.1470520855375261,0.44,0.49,0.56
2016-05-31,100.41,0.4099999999999966,0.42,0.44,0.45666666666666683,13.6,14.312899999999999,1.1458803351803502,1.0702276174499414,0.42,0.51,0.49
2016-06-30,100.36,0.35999999999999943,0.4,0.42,0.43000000000000016,14.1881,14.128933333333334,1.2462108456913839,1.1458803351803502,0.4,0.51,0.51
2016-07-31,100.54,0.5400000000000063,0.54,0.4,0.42000000000000015,14.2875,14.025199999999998,0.766532642439721,1.2462108456913839,0.54,0.47,0.51
2016-08-31,100.01,0.010000000000005116,0.46,0.54,0.4533333333333334,12.5623,13.6793,0.7192280707774269,0.766532642439721,0.46,0.43,0.47
2016-09-30,100.17,0.1700000000000017,0.42,0.46,0.46666666666666684,14.2065,13.685433333333334,0.7255312609075613,0.7192280707774269,0.42,0.39,0.43
2016-10-31,100.43,0.4300000000000068,0.46,0.42,0.47333333333333344,12.3462,13.038333333333334,0.5348749748630852,0.7255312609075613,0.46,0.35,0.39
2016-11-30,100.44,0.4399999999999977,0.33,0.46,0.44666666666666677,13.677378,13.410026,0.995630320801996,0.5348749748630852,0.33,0.35,0.35
2016-12-31,100.4,0.4000000000000057,0.17,0.33,0.4033333333333335,12.3526,12.792059333333334,0.9043433890381134,0.995630320801996,0.17,0.34,0.35
2017-01-31,100.62,0.6200000000000045,0.35,0.17,0.3200000000000001,11.4855,12.505159333333333,0.7095267684183423,0.9043433890381134,0.35,0.27,0.34
2017-02-28,100.22,0.21999999999999886,0.11,0.35,0.2833333333333335,12.8791,12.239066666666666,0.8121798146883207,0.7095267684183423,0.11,0.19,0.27
2017-03-31,100.13,0.12999999999999545,0.11,0.11,0.2100000000000001,11.162068965517241,11.842222988505746,0.7669029515262424,0.8121798146883207,0.11,0.11,0.19
2017-04-30,100.33,0.3299999999999983,0.33,0.11,0.19000000000000009,10.959,11.666722988505747,0.7033670163016809,0.7669029515262424,0.33,0.13,0.11
2017-05-31,100.37,0.37000000000000455,0.39,0.33,0.18333333333333346,10.2704,10.797156321839081,0.7840051937380407,0.7033670163016809,0.39,0.16,0.13
2017-06-30,100.61,0.6099999999999994,0.61,0.39,0.2766666666666668,10.3398,10.523066666666667,0.8049995577717007,0.7840051937380407,0.61,0.2,0.16
2017-07-31,100.07,0.06999999999999318,0.06,0.61,0.4433333333333335,10.6924,10.434199999999999,0.6262289860492085,0.8049995577717007,0.06,0.24,0.2
2017-08-31,99.46,-0.5400000000000063,-0.1,0.06,0.35333333333333344,9.527,10.186399999999999,0.4635860074847789,0.6262289860492085,-0.1,0.2,0.24
2017-09-30,99.85,-0.15000000000000568,0.12,-0.1,0.19000000000000009,9.5559,9.9251,0.5791322922692974,0.4635860074847789,0.12,0.18,0.2
2017-10-31,100.2,0.20000000000000284,0.22,0.12,0.026666666666666772,9.85,9.6443,0.4091806420939703,0.5791322922692974,0.22,0.1,0.18
2017-11-30,100.22,0.21999999999999886,0.12,0.22,0.08000000000000011,8.6866,9.364166666666668,0.652854641367168,0.4091806420939703,0.12,0.12,0.1
2017-12-31,100.42,0.4200000000000017,0.2,0.12,0.15333333333333343,8.7425,9.093033333333333,0.4472954456049169,0.652854641367168,0.2,0.18,0.12
2018-01-31,100.31,0.3100000000000023,0.05,0.2,0.18000000000000008,8.8793,8.769466666666666,0.44343212734821297,0.4472954456049169,0.05,0.14,0.18
2018-02-28,100.21,0.20999999999999375,0.11,0.05,0.12333333333333345,8.4402,8.687333333333335,0.8687453491073961,0.44343212734821297,0.11,0.11,0.14
2018-03-31,100.29,0.29000000000000625,0.27,0.11,0.1200000000000001,8.4687,8.596066666666667,0.518071722855061,0.8687453491073961,0.27,0.1,0.11
2018-04-30,100.38,0.37999999999999545,0.36,0.27,0.14333333333333345,7.8145,8.241133333333334,1.3379920094135764,0.518071722855061,0.36,0.19,0.1
2018-05-31,100.38,0.37999999999999545,0.41,0.36,0.24666666666666678,8.5564,8.279866666666667,0.9729708675397469,1.3379920094135764,0.41,0.28,0.19
2018-06-30,100.49,0.4899999999999949,0.49,0.41,0.34666666666666673,9.8368,8.735899999999999,0.5421871077753526,0.9729708675397469,0.49,0.39,0.28
2018-07-31,100.27,0.269999999999996,0.28,0.49,0.4200000000000001,9.6818,9.358333333333334,0.6419763636418085,0.5421871077753526,0.28,0.42,0.39
2018-08-31,100.01,0.010000000000005116,0.47,0.28,0.3933333333333335,9.9011,9.806566666666667,1.0966478445990535,0.6419763636418085,0.47,0.37,0.42
2018-09-30,100.16,0.1599999999999966,0.42,0.47,0.4133333333333335,10.0697,9.8842,0.7726082811176829,1.0966478445990535,0.42,0.37,0.37
2018-10-31,100.35,0.3499999999999943,0.34,0.42,0.3900000000000001,9.3386,9.769799999999998,0.6369379874243059,0.7726082811176829,0.34,0.37,0.37
2018-11-30,100.5,0.5,0.39,0.34,0.41000000000000014,9.8309,9.7464,0.896253873349988,0.6369379874243059,0.39,0.4,0.37
2018-12-31,100.84,0.8400000000000034,0.6,0.39,0.38333333333333347,10.2363,9.801933333333332,0.5471739676822529,0.896253873349988,0.6,0.51,0.4
2019-01-31,101.01,1.0100000000000051,0.74,0.6,0.4433333333333335,10.3632,10.143466666666667,0.5914087991545779,0.5471739676822529,0.74,0.54,0.51
2019-02-28,100.44,0.4399999999999977,0.32,0.74,0.5766666666666668,10.1363,10.245266666666668,0.3402543746534099,0.5914087991545779,0.32,0.4,0.54
2019-03-31,100.32,0.3199999999999932,0.3,0.32,0.5533333333333335,9.1406,9.880033333333333,0.6134195197818094,0.3402543746534099,0.3,0.25,0.4
2019-04-30,100.29,0.29000000000000625,0.26,0.3,0.4533333333333334,9.39,9.555633333333333,0.45022748101205157,0.6134195197818094,0.26,0.24,0.25
2019-05-31,100.34,0.3400000000000034,0.37,0.26,0.29333333333333345,9.2639,9.264833333333334,0.4825902287023995,0.45022748101205157,0.37,0.3,0.24
2019-06-30,100.04,0.04000000000000625,0.08,0.37,0.3100000000000001,9.4292,9.361033333333333,0.42612955564583394,0.4825902287023995,0.08,0.31,0.3
2019-07-31,100.2,0.20000000000000284,0.21,0.08,0.23666666666666678,9.3712,9.354766666666666,0.4014933925165248,0.42612955564583394,0.21,0.32,0.31
2019-08-31,99.76,-0.23999999999999488,0.2,0.21,0.2200000000000001,9.1104,9.303600000000001,0.6725311364364139,0.4014933925165248,0.2,0.21,0.32
2019-09-30,99.84,-0.1599999999999966,0.1,0.2,0.16333333333333344,8.8941,9.125233333333332,0.44649773738679055,0.6725311364364139,0.1,0.07,0.21
2019-10-31,100.13,0.12999999999999545,0.13,0.1,0.17000000000000012,8.6122,8.872233333333334,0.37811278951941163,0.44649773738679055,0.13,0.1,0.07
2019-11-30,100.28,0.28000000000000114,0.17,0.13,0.14333333333333345,8.2566,8.587633333333335,0.3759913321214065,0.37811278951941163,0.17,0.19,0.1
2019-12-31,100.36,0.35999999999999943,0.12,0.17,0.13333333333333344,9.0219,8.630233333333335,0.30280396494833867,0.3759913321214065,0.12,0.19,0.19
2020-01-31,100.4,0.4000000000000057,0.17,0.12,0.14000000000000012,8.2594,8.512633333333333,0.6052193334334846,0.30280396494833867,0.17,0.1,0.19
2020-02-29,100.33,0.3299999999999983,0.19,0.17,0.15333333333333346,7.9343,8.4052,0.7955573559122522,0.6052193334334846,0.19,0.17,0.1
2020-03-31,100.55,0.5499999999999972,0.53,0.19,0.16000000000000011,7.8881,8.027266666666666,2.2218763993764155,0.7955573559122522,0.53,0.43,0.17
2020-04-30,100.83,0.8299999999999983,0.81,0.53,0.2966666666666668,7.8881,8.027266666666666,1.2324616277939142,2.2218763993764155,0.81,0.45,0.43
2020-05-31,100.27,0.269999999999996,0.32,0.81,0.5100000000000001,7.8881,8.027266666666666,0.812704356948549,1.2324616277939142,0.32,0.3,0.45
2020-06-30,100.22,0.21999999999999886,0.28,0.32,0.5533333333333335,7.8881,8.027266666666666,0.9088992361102505,0.812704356948549,0.28,0.32,0.3
2020-07-31,100.35,0.3499999999999943,0.39,0.28,0.47000000000000014,7.8881,8.027266666666666,0.7140718624088254,0.9088992361102505,0.39,0.41,0.32
2020-08-31,99.96,-0.04000000000000625,0.38,0.39,0.3300000000000001,8.8231,8.215166666666667,0.8238762597011071,0.7140718624088254,0.38,0.34,0.41
2020-09-30,99.93,-0.06999999999999318,0.24,0.38,0.3500000000000001,8.9478,8.552999999999999,0.8840624637230045,0.8238762597011071,0.24,0.25,0.34
2020-10-31,100.43,0.4300000000000068,0.41,0.24,0.3366666666666667,9.668,9.146299999999998,0.7922496249893888,0.8840624637230045,0.41,0.36,0.25
2020-11-30,100.71,0.7099999999999937,0.57,0.41,0.34333333333333343,10.1207,9.578833333333334,0.9847487509775236,0.7922496249893888,0.57,0.5,0.36
2020-12-31,100.83,0.8299999999999983,0.56,0.57,0.40666666666666673,11.507,10.4319,0.8952707226001789,0.9847487509775236,0.56,0.5,0.5
2021-01-31,100.67,0.6700000000000017,0.39,0.56,0.5133333333333334,10.4836,10.703766666666667,0.7092049988985983,0.8952707226001789,0.39,0.46,0.5
2021-02-28,100.78,0.7800000000000011,0.56,0.39,0.5066666666666668,9.8636,10.618066666666666,0.5992412238643579,0.7092049988985983,0.56,0.61,0.46
2021-03-31,100.66,0.6599999999999966,0.57,0.56,0.5033333333333335,10.0714,10.139533333333333,0.7025597438607126,0.5992412238643579,0.57,0.77,0.61
2021-04-30,100.58,0.5799999999999983,0.58,0.57,0.5066666666666668,11.879,10.604666666666667,0.7348065146446954,0.7025597438607126,0.58,0.54,0.77
2021-05-31,100.74,0.7399999999999949,0.9,0.58,0.5700000000000001,11.3279,11.092766666666668,0.4104028789472706,0.7348065146446954,0.9,0.82,0.54
2021-06-30,100.69,0.6899999999999977,0.72,0.9,0.6833333333333335,11.9136,11.706833333333334,0.4526228738275473,0.4104028789472706,0.72,0.79,0.82
2021-07-31,100.31,0.3100000000000023,0.43,0.72,0.7333333333333334,13.3997,12.213733333333332,0.4436632191974912,0.4526228738275473,0.43,0.64,0.79
2021-08-31,100.17,0.1700000000000017,0.62,0.43,0.6833333333333335,12.4946,12.602633333333335,0.41493957590746783,0.4436632191974912,0.62,0.63,0.64
2021-09-30,100.6,0.5999999999999943,0.86,0.62,0.5900000000000001,12.3028,12.732366666666666,0.39469465291633343,0.41493957590746783,0.86,0.72,0.63
2021-10-31,101.11,1.1099999999999994,1.09,0.86,0.6366666666666667,13.6222,12.806533333333334,0.6449829308648034,0.39469465291633343,1.09,0.76,0.72
2021-11-30,100.96,0.9599999999999937,0.67,1.09,0.8566666666666668,13.4727,13.132566666666667,0.8778136752617988,0.6449829308648034,0.67,1.12,0.76
2021-12-31,100.82,0.8199999999999932,0.69,0.67,0.8733333333333335,14.7674,13.954100000000002,0.4493965359429671,0.8778136752617988,0.69,0.72,1.12
2022-01-31,100.99,0.9899999999999949,0.68,0.69,0.8166666666666669,13.7279,13.989333333333335,1.030789794319506,0.4493965359429671,0.68,0.73,0.72
2022-02-28,101.17,1.1700000000000017,0.95,0.68,0.68,13.5372,14.010833333333332,3.3254859649480215,1.030789794319506,0.95,0.97,0.73
2022-03-31,107.61,7.609999999999999,7.49,0.95,0.7733333333333334,18.3345,15.199866666666665,4.38911489203599,3.3254859649480215,7.49,8.94,0.97
2022-04-30,101.56,1.5600000000000023,1.52,7.49,3.0400000000000005,12.5387,14.803466666666667,1.9917070111526973,4.38911489203599,1.52,2.07,8.94
2022-05-31,100.12,0.12000000000000455,0.27,1.52,3.3200000000000003,11.4809,14.118033333333335,4.07080534933354,1.9917070111526973,0.27,0.46,2.07
2022-06-30,99.65,-0.3499999999999943,-0.28,0.27,3.0933333333333337,12.3659,12.1285,1.6619469854469149,4.07080534933354,-0.28,0.14,0.46
2022-07-31,99.61,-0.39000000000000057,-0.32,-0.28,0.5033333333333336,10.8218,11.556199999999999,3.0781820361439496,1.6619469854469149,-0.32,-0.1,0.14
2022-08-31,99.48,-0.519999999999996,0.0,-0.32,-0.10999999999999971,11.9815,11.723066666666668,0.8570618543019213,3.0781820361439496,0.0,0.05,-0.1
2022-09-30,100.05,0.04999999999999716,0.25,0.0,-0.19999999999999973,12.4884,11.7639,1.0240238935252193,0.8570618543019213,0.25,0.27,0.05
2022-10-31,100.18,0.18000000000000682,0.19,0.25,-0.02333333333333304,12.8386,12.436166666666667,1.0936966121727707,1.0240238935252193,0.19,0.14,0.27
2022-11-30,100.37,0.37000000000000455,0.1,0.19,0.14666666666666697,12.2257,12.517566666666667,0.6449581095305255,1.0936966121727707,0.1,0.06,0.14
2022-12-31,100.78,0.7800000000000011,0.47,0.1,0.1800000000000003,12.1275,12.397266666666667,1.724764833619103,0.6449581095305255,0.47,0.2,0.06
2023-01-31,100.84,0.8400000000000034,0.56,0.47,0.25333333333333363,11.6154,11.989533333333334,1.089350494487727,1.724764833619103,0.56,0.19,0.2
2023-02-28,100.46,0.45999999999999375,0.27,0.56,0.376666666666667,12.1595,11.967466666666667,0.770173456574937,1.089350494487727,0.27,0.06,0.19
2023-03-31,100.37,0.37000000000000455,0.28,0.27,0.4333333333333336,10.7132,11.496033333333335,0.6804229160676506,0.770173456574937,0.28,0.23,0.06
2023-04-30,100.38,0.37999999999999545,0.36,0.28,0.37000000000000033,10.3542,11.075633333333334,0.7297409128756474,0.6804229160676506,0.36,0.34,0.23
2023-05-31,100.31,0.3100000000000023,0.31,0.36,0.3033333333333336,10.8053,10.624233333333335,1.0267522787779582,0.7297409128756474,0.31,0.42,0.34
2023-06-30,100.37,0.37000000000000455,0.45,0.31,0.31666666666666693,10.1907,10.450066666666666,0.8214899704016417,1.0267522787779582,0.45,0.45,0.42
2023-07-31,100.63,0.6299999999999955,0.98,0.45,0.3733333333333337,11.0586,10.684866666666666,0.8710206337514608,0.8214899704016417,0.98,0.63,0.45
2023-08-31,100.28,0.28000000000000114,0.95,0.98,0.5800000000000003,11.5194,10.922899999999998,1.0528605075057933,0.8710206337514608,0.95,0.91,0.63
2023-09-30,100.87,0.8700000000000045,1.07,0.95,0.7933333333333336,11.7208,11.432933333333333,0.8676195322466478,1.0528605075057933,1.07,0.97,0.91
2023-10-31,100.83,0.8299999999999983,0.79,1.07,1.0000000000000002,11.165,11.4684,0.9852083932084331,0.8676195322466478,0.79,1.04,0.97
2023-11-30,101.11,1.1099999999999994,0.83,0.79,0.936666666666667,12.1777,11.687833333333332,0.7444989833030968,0.9852083932084331,0.83,0.92,1.04
2023-12-31,100.73,0.730000000000004,0.6,0.83,0.896666666666667,14.2423,12.528333333333334,0.8576025955545322,0.7444989833030968,0.6,0.54,0.92
2024-01-31,100.86,0.8599999999999994,0.53,0.6,0.7400000000000002,12.7157,13.045233333333334,0.8232732739535595,0.8576025955545322,0.53,0.48,0.54
2024-02-29,100.68,0.6800000000000068,0.45,0.53,0.6533333333333337,11.8985,12.952166666666665,0.4566486535894653,0.8232732739535595,0.45,0.49,0.48
2024-03-31,100.39,0.39000000000000057,0.33,0.45,0.526666666666667,11.4659,12.0267,0.6075577602976625,0.4566486535894653,0.33,0.46,0.49
2024-04-30,100.5,0.5,0.57,0.33,0.436666666666667,10.9688,11.4444,0.4472853134315299,0.6075577602976625,0.57,0.74,0.46
2024-05-31,100.74,0.7399999999999949,0.68,0.57,0.45000000000000034,11.7072,11.380633333333334,0.5481960621057509,0.4472853134315299,0.68,0.7,0.74
