date,tenor_years,source_file,observed,tp,risk_neutral
2015-01-31,2,inputs/tp_2y.png,14.758064516129032,2.258064516129032,12.5
2015-02-28,2,inputs/tp_2y.png,13.45740281224152,2.8894403087951477,10.567962503446372
2015-03-31,2,inputs/tp_2y.png,12.437965260545905,2.380066170388751,10.057899090157154
2015-04-30,2,inputs/tp_2y.png,11.238626964433415,3.246484698097601,7.992142266335813
2015-05-31,2,inputs/tp_2y.png,10.685483870967742,3.276812792941826,7.408671078025916
2015-06-30,2,inputs/tp_2y.png,10.90432864626413,2.108491866556383,8.795836779707747
2015-07-31,2,inputs/tp_2y.png,10.786807278742762,1.490901571546733,9.29590570719603
2015-08-31,2,inputs/tp_2y.png,11.185208161014613,1.33857182244279,9.846636338571823
2015-09-30,2,inputs/tp_2y.png,11.165219189412738,1.7486903777226357,9.416528811690103
2015-10-31,2,inputs/tp_2y.png,10.462158808933003,2.0161290322580645,8.446029776674939
2015-11-30,2,inputs/tp_2y.png,10.28225806451613,2.4076371657016815,7.874620898814449
2015-12-31,2,inputs/tp_2y.png,10.443548387096774,2.262889440308795,8.180658946787979
2016-01-31,2,inputs/tp_2y.png,10.441480562448305,1.7762613730355663,8.665219189412738
2016-02-29,2,inputs/tp_2y.png,9.937275985663083,2.0878136200716852,7.849462365591398
2016-03-31,2,inputs/tp_2y.png,9.475806451612904,1.7741935483870968,7.701612903225807
2016-04-30,2,inputs/tp_2y.png,9.516129032258064,1.6935483870967745,7.82258064516129
2016-05-31,2,inputs/tp_2y.png,9.460987041632203,1.6935483870967745,7.767438654535429
2016-06-30,2,inputs/tp_2y.png,9.417218086572925,1.8183071408877858,7.598910945685139
2016-07-31,2,inputs/tp_2y.png,9.271091811414392,1.370967741935484,7.900124069478908
2016-08-31,2,inputs/tp_2y.png,9.022263578715192,1.5825751309622267,7.439688447752966
2016-09-30,2,inputs/tp_2y.png,8.75,1.9120485249517503,6.83795147504825
2016-10-31,2,inputs/tp_2y.png,8.741728701406121,1.8548387096774193,6.886889991728702
2016-11-30,2,inputs/tp_2y.png,8.75,1.622553074165978,7.127446925834022
2016-12-31,2,inputs/tp_2y.png,8.510821615660326,1.8548387096774193,6.655982905982907
2017-01-31,2,inputs/tp_2y.png,8.266129032258064,2.334574028122416,5.931555004135648
2017-02-28,2,inputs/tp_2y.png,8.432933553901297,2.0161290322580645,6.416804521643233
2017-03-31,2,inputs/tp_2y.png,8.508064516129032,1.7741935483870968,6.733870967741935
2017-04-30,2,inputs/tp_2y.png,8.346774193548386,1.6935483870967745,6.653225806451612
2017-05-31,2,inputs/tp_2y.png,8.20995312930797,1.532258064516129,6.67769506479184
2017-06-30,2,inputs/tp_2y.png,8.045216432313207,1.4130135097877035,6.632202922525504
2017-07-31,2,inputs/tp_2y.png,8.10483870967742,1.2096774193548387,6.895161290322581
2017-08-31,2,inputs/tp_2y.png,7.891163496002207,1.129032258064516,6.762131237937691
2017-09-30,2,inputs/tp_2y.png,7.671974083264406,1.129032258064516,6.54294182519989
2017-10-31,2,inputs/tp_2y.png,7.507237386269645,1.0483870967741937,6.458850289495451
2017-11-30,2,inputs/tp_2y.png,7.3866142817755716,0.8140336366142814,6.57258064516129
2017-12-31,2,inputs/tp_2y.png,7.0971188309898,1.1283429831816914,5.968775847808108
2018-01-31,2,inputs/tp_2y.png,6.814516129032258,0.8064516129032258,6.008064516129032
2018-02-28,2,inputs/tp_2y.png,6.640129583677971,0.8064516129032258,5.833677970774745
2018-03-31,2,inputs/tp_2y.png,6.411290322580646,1.0483870967741937,5.362903225806452
2018-04-30,2,inputs/tp_2y.png,6.680107526881718,0.6451612903225806,6.034946236559137
2018-05-31,2,inputs/tp_2y.png,6.814516129032258,0.45009649848359623,6.364419630548662
2018-06-30,2,inputs/tp_2y.png,7.016473669699477,0.24193548387096775,6.774538185828509
2018-07-31,2,inputs/tp_2y.png,7.137096774193548,0.3225806451612903,6.814516129032258
2018-08-31,2,inputs/tp_2y.png,7.608905431486074,0.7802591673559399,6.828646264130134
2018-09-30,2,inputs/tp_2y.png,7.974221119382409,1.1097325613454634,6.864488558036945
2018-10-31,2,inputs/tp_2y.png,7.983870967741935,0.8995037220843678,7.0843672456575675
2018-11-30,2,inputs/tp_2y.png,8.10483870967742,1.0428728977116053,7.061965811965814
2018-12-31,2,inputs/tp_2y.png,8.103460159911775,0.9663633857182262,7.137096774193548
2019-01-31,2,inputs/tp_2y.png,7.862903225806452,0.6451612903225806,7.217741935483871
2019-02-28,2,inputs/tp_2y.png,7.862903225806452,0.4687069203198242,7.394196305486628
2019-03-31,2,inputs/tp_2y.png,7.701612903225806,0.3225806451612903,7.379032258064516
2019-04-30,2,inputs/tp_2y.png,7.753308519437553,0.3225806451612903,7.430727874276263
2019-05-31,2,inputs/tp_2y.png,7.5627240143369185,0.43906810035842164,7.123655913978497
2019-06-30,2,inputs/tp_2y.png,7.336297215329473,0.6072511717673,6.729046043562174
2019-07-31,2,inputs/tp_2y.png,7.087468982630276,0.5955334987593076,6.491935483870969
2019-08-31,2,inputs/tp_2y.png,6.975806451612904,0.5079955886407519,6.4678108629721525
2019-09-30,2,inputs/tp_2y.png,6.670457678522196,0.564516129032258,6.105941549489938
2019-10-31,2,inputs/tp_2y.png,6.305831265508686,0.7961124896608759,5.5097187758478094
2019-11-30,2,inputs/tp_2y.png,5.930865729252827,0.9642955610697543,4.966570168183073
2019-12-31,2,inputs/tp_2y.png,5.804728425696169,0.8870967741935484,4.917631651502621
2020-01-31,2,inputs/tp_2y.png,5.675144747725394,0.8064516129032258,4.868693134822168
2020-02-29,2,inputs/tp_2y.png,5.524193548387097,0.8064516129032258,4.717741935483871
2020-03-31,2,inputs/tp_2y.png,6.136958919216979,0.8629721532947365,5.273986765922242
2020-04-30,2,inputs/tp_2y.png,5.67307692307693,0.45285359801489045,5.220223325062039
2020-05-31,2,inputs/tp_2y.png,4.92176730079956,0.962917011304105,3.958850289495455
2020-06-30,2,inputs/tp_2y.png,4.655017921146954,0.9229390681003594,3.7320788530465947
2020-07-31,2,inputs/tp_2y.png,4.530603804797353,0.29983457402812336,4.23076923076923
2020-08-31,2,inputs/tp_2y.png,4.556451612903226,0.5424593327819135,4.013992280121313
2020-09-30,2,inputs/tp_2y.png,4.6295147504824925,0.6451612903225806,3.984353460159912
2020-10-31,2,inputs/tp_2y.png,4.637096774193548,0.6451612903225806,3.9919354838709675
2020-11-30,2,inputs/tp_2y.png,4.637096774193548,0.6451612903225806,3.9919354838709675
2020-12-31,2,inputs/tp_2y.png,4.67741935483871,0.7313206506754871,3.946098704163223
2021-01-31,2,inputs/tp_2y.png,4.717741935483871,0.6575682382133977,4.060173697270473
2021-02-28,2,inputs/tp_2y.png,4.969327267714364,0.9870416322029214,3.9822856355114427
2021-03-31,2,inputs/tp_2y.png,5.402191894127377,1.5846429556106962,3.8175489385166808
2021-04-30,2,inputs/tp_2y.png,5.799214226633581,1.6935483870967745,4.105665839536806
2021-05-31,2,inputs/tp_2y.png,5.987730907085743,1.6129032258064515,4.374827681279292
2021-06-30,2,inputs/tp_2y.png,6.343741384063958,1.740419079128753,4.603322304935205
2021-07-31,2,inputs/tp_2y.png,6.72043010752688,1.6397849462365621,5.0806451612903185
2021-08-31,2,inputs/tp_2y.png,6.814516129032258,0.9270747173973031,5.8874414116349545
2021-09-30,2,inputs/tp_2y.png,6.969258340226082,0.7389026743865473,6.230355665839535
2021-10-31,2,inputs/tp_2y.png,7.447270471464018,1.1228287841191051,6.324441687344913
2021-11-30,2,inputs/tp_2y.png,8.22752963881996,1.613592500689274,6.6139371381306855
2021-12-31,2,inputs/tp_2y.png,8.669354838709678,1.5246760408050735,7.1446787979046045
2022-01-31,2,inputs/tp_2y.png,9.094292803970223,1.4660876757650954,7.628205128205128
2022-02-28,2,inputs/tp_2y.png,9.99414116349599,2.1181417149159047,7.875999448580084
2022-03-31,2,inputs/tp_2y.png,12.391439205955306,1.4757375241246273,10.91570168183068
2022-04-30,2,inputs/tp_2y.png,11.000827129859394,6.464019851116568,4.536807278742826
2022-05-31,2,inputs/tp_2y.png,10.014130135097885,6.076647366969962,3.9374827681279223
2022-06-30,2,inputs/tp_2y.png,8.909911772815002,3.1885856079404613,5.721326164874541
2022-07-31,2,inputs/tp_2y.png,8.2227047146402,1.4143920595533552,6.808312655086844
