date,tenor_years,source_file,series_kind,tp
2010-09-30,10,inputs/tp_10y_book.png,tp,3.719935633276979
2010-10-31,10,inputs/tp_10y_book.png,tp,3.581728127641588
2010-11-30,10,inputs/tp_10y_book.png,tp,3.7439230240912926
2010-12-31,10,inputs/tp_10y_book.png,tp,3.7828675331079173
2011-01-31,10,inputs/tp_10y_book.png,tp,3.667060703719358
2011-02-28,10,inputs/tp_10y_book.png,tp,3.5180962066779364
2011-03-31,10,inputs/tp_10y_book.png,tp,3.505402490138067
2011-04-30,10,inputs/tp_10y_book.png,tp,3.649770181741337
2011-05-31,10,inputs/tp_10y_book.png,tp,3.825172143561566
2011-06-30,10,inputs/tp_10y_book.png,tp,4.1191343512257
2011-07-31,10,inputs/tp_10y_book.png,tp,4.217067307692307
2011-08-31,10,inputs/tp_10y_book.png,tp,4.1568654902789515
2011-09-30,10,inputs/tp_10y_book.png,tp,4.070249542124542
2011-10-31,10,inputs/tp_10y_book.png,tp,4.010281065088757
2011-11-30,10,inputs/tp_10y_book.png,tp,3.863906646238377
2011-12-31,10,inputs/tp_10y_book.png,tp,3.5048658072696504
2012-01-31,10,inputs/tp_10y_book.png,tp,3.3252403846153844
2012-02-29,10,inputs/tp_10y_book.png,tp,3.299386270780501
2012-03-31,10,inputs/tp_10y_book.png,tp,3.2116736228515075
2012-04-30,10,inputs/tp_10y_book.png,tp,3.127764423076923
2012-05-31,10,inputs/tp_10y_book.png,tp,3.0318848619329386
2012-06-30,10,inputs/tp_10y_book.png,tp,2.469604554099744
2012-07-31,10,inputs/tp_10y_book.png,tp,2.43957364750634
2012-08-31,10,inputs/tp_10y_book.png,tp,2.6506533530572023
2012-09-30,10,inputs/tp_10y_book.png,tp,2.815671668075514
2012-10-31,10,inputs/tp_10y_book.png,tp,2.7846840659340644
2012-11-30,10,inputs/tp_10y_book.png,tp,2.722755529726683
2012-12-31,10,inputs/tp_10y_book.png,tp,2.707985083826427
2013-01-31,10,inputs/tp_10y_book.png,tp,2.4343934911242595
2013-02-28,10,inputs/tp_10y_book.png,tp,1.9680860805860747
2013-03-31,10,inputs/tp_10y_book.png,tp,1.670623767258382
2013-04-30,10,inputs/tp_10y_book.png,tp,1.3023193153000798
2013-05-31,10,inputs/tp_10y_book.png,tp,1.4990019195548046
2013-06-30,10,inputs/tp_10y_book.png,tp,1.6713471224288534
2013-07-31,10,inputs/tp_10y_book.png,tp,1.6680103550295853
2013-08-31,10,inputs/tp_10y_book.png,tp,1.5038787334460386
2013-09-30,10,inputs/tp_10y_book.png,tp,1.8949572062552835
2013-10-31,10,inputs/tp_10y_book.png,tp,1.9097976542688082
2013-11-30,10,inputs/tp_10y_book.png,tp,1.8409855769230767
2013-12-31,10,inputs/tp_10y_book.png,tp,1.8767333227669765
2014-01-31,10,inputs/tp_10y_book.png,tp,1.8919471153846155
2014-02-28,10,inputs/tp_10y_book.png,tp,1.930658284023668
2014-03-31,10,inputs/tp_10y_book.png,tp,2.130164306847
2014-04-30,10,inputs/tp_10y_book.png,tp,2.4048525993237515
2014-05-31,10,inputs/tp_10y_book.png,tp,2.709361792054101
2014-06-30,10,inputs/tp_10y_book.png,tp,3.0920166772330213
2014-07-31,10,inputs/tp_10y_book.png,tp,3.1787259615384618
2014-08-31,10,inputs/tp_10y_book.png,tp,3.165985576923077
2014-09-30,10,inputs/tp_10y_book.png,tp,2.932575197238656
2014-10-31,10,inputs/tp_10y_book.png,tp,2.3596312341504673
2014-11-30,10,inputs/tp_10y_book.png,tp,2.4273466117216147
2014-12-31,10,inputs/tp_10y_book.png,tp,2.6372596153846155
2015-01-31,10,inputs/tp_10y_book.png,tp,2.6015585376162296
2015-02-28,10,inputs/tp_10y_book.png,tp,2.6117788461538463
2015-03-31,10,inputs/tp_10y_book.png,tp,2.620552444350524
2015-04-30,10,inputs/tp_10y_book.png,tp,3.026331360946744
2015-05-31,10,inputs/tp_10y_book.png,tp,3.2360576923076927
2015-06-30,10,inputs/tp_10y_book.png,tp,3.176439225838265
2015-07-31,10,inputs/tp_10y_book.png,tp,3.147155008453086
2015-08-31,10,inputs/tp_10y_book.png,tp,3.0528154938010723
2015-09-30,10,inputs/tp_10y_book.png,tp,2.4915152155536795
2015-10-31,10,inputs/tp_10y_book.png,tp,2.831445477599323
2015-11-30,10,inputs/tp_10y_book.png,tp,3.1045703895463523
2015-12-31,10,inputs/tp_10y_book.png,tp,3.2397444702733167
2016-01-31,10,inputs/tp_10y_book.png,tp,3.216947115384613
2016-02-29,10,inputs/tp_10y_book.png,tp,2.8797469357565513
2016-03-31,10,inputs/tp_10y_book.png,tp,2.2748353409411046
2016-04-30,10,inputs/tp_10y_book.png,tp,1.7513828719357567
2016-05-31,10,inputs/tp_10y_book.png,tp,2.2048098936320097
2016-06-30,10,inputs/tp_10y_book.png,tp,2.2231971153846155
2016-07-31,10,inputs/tp_10y_book.png,tp,2.2198370139475907
2016-08-31,10,inputs/tp_10y_book.png,tp,1.6773439701324317
2016-09-30,10,inputs/tp_10y_book.png,tp,1.2639114891518712
2016-10-31,10,inputs/tp_10y_book.png,tp,1.1425044907016062
2016-11-30,10,inputs/tp_10y_book.png,tp,0.7263652613412176
2016-12-31,10,inputs/tp_10y_book.png,tp,0.7015145111298958
2017-01-31,10,inputs/tp_10y_book.png,tp,0.7198317307692307
2017-02-28,10,inputs/tp_10y_book.png,tp,0.7953640109890112
2017-03-31,10,inputs/tp_10y_book.png,tp,1.2625581149619658
2017-04-30,10,inputs/tp_10y_book.png,tp,1.3625211327134403
2017-05-31,10,inputs/tp_10y_book.png,tp,1.3823317307692309
2017-06-30,10,inputs/tp_10y_book.png,tp,1.197339479430825
2017-07-31,10,inputs/tp_10y_book.png,tp,0.9042872992392206
2017-08-31,10,inputs/tp_10y_book.png,tp,0.7115014792899405
2017-09-30,10,inputs/tp_10y_book.png,tp,0.6879807692307692
2017-10-31,10,inputs/tp_10y_book.png,tp,0.8246248943364337
2017-11-30,10,inputs/tp_10y_book.png,tp,1.0225208685545237
2017-12-31,10,inputs/tp_10y_book.png,tp,1.099149848548887
2018-01-31,10,inputs/tp_10y_book.png,tp,1.1275240384615384
2018-02-28,10,inputs/tp_10y_book.png,tp,1.0898162334460393
2018-03-31,10,inputs/tp_10y_book.png,tp,1.1445112179487213
2018-04-30,10,inputs/tp_10y_book.png,tp,1.3241599746407444
2018-05-31,10,inputs/tp_10y_book.png,tp,1.4152093899690048
2018-06-30,10,inputs/tp_10y_book.png,tp,1.4524038461538462
2018-07-31,10,inputs/tp_10y_book.png,tp,1.4015823119188484
2018-08-31,10,inputs/tp_10y_book.png,tp,1.4269230769230767
2018-09-30,10,inputs/tp_10y_book.png,tp,1.432126567342913
2018-10-31,10,inputs/tp_10y_book.png,tp,1.5484467455621347
2018-11-30,10,inputs/tp_10y_book.png,tp,1.67946736756833
2018-12-31,10,inputs/tp_10y_book.png,tp,1.8880036630036654
2019-01-31,10,inputs/tp_10y_book.png,tp,2.343530748098054
2019-02-28,10,inputs/tp_10y_book.png,tp,2.550900341645533
2019-03-31,10,inputs/tp_10y_book.png,tp,2.537879948577062
2019-04-30,10,inputs/tp_10y_book.png,tp,2.4579842032967036
2019-05-31,10,inputs/tp_10y_book.png,tp,2.448930596646943
2019-06-30,10,inputs/tp_10y_book.png,tp,2.332680420540999
2019-07-31,10,inputs/tp_10y_book.png,tp,2.0904031065088717
2019-08-31,10,inputs/tp_10y_book.png,tp,2.0133307797971267
2019-09-30,10,inputs/tp_10y_book.png,tp,2.0232244118061424
2019-10-31,10,inputs/tp_10y_book.png,tp,1.8206149619611167
2019-11-30,10,inputs/tp_10y_book.png,tp,1.8155048076923077
2019-12-31,10,inputs/tp_10y_book.png,tp,1.508755547337275
2020-01-31,10,inputs/tp_10y_book.png,tp,1.3299701500422654
2020-02-29,10,inputs/tp_10y_book.png,tp,1.325
2020-03-31,10,inputs/tp_10y_book.png,tp,1.2005595766413049
2020-04-30,10,inputs/tp_10y_book.png,tp,1.0849627535925606
2020-05-31,10,inputs/tp_10y_book.png,tp,1.2118532509157505
