source_file,tenor_years,series_kind,pixel_x,tp
inputs/tp_10y_book.png,10,tp,248,4.121514423076922
inputs/tp_10y_book.png,10,tp,249,3.968629807692307
inputs/tp_10y_book.png,10,tp,250,3.8157451923076926
inputs/tp_10y_book.png,10,tp,251,3.6564903846153842
inputs/tp_10y_book.png,10,tp,252,3.497235576923077
inputs/tp_10y_book.png,10,tp,253,3.4844951923076923
inputs/tp_10y_book.png,10,tp,254,3.4653846153846155
inputs/tp_10y_book.png,10,tp,255,3.4526442307692307
inputs/tp_10y_book.png,10,tp,256,3.4590144230769226
inputs/tp_10y_book.png,10,tp,257,3.586418269230769
inputs/tp_10y_book.png,10,tp,258,3.713822115384615
inputs/tp_10y_book.png,10,tp,259,3.8412259615384614
inputs/tp_10y_book.png,10,tp,260,3.9813701923076925
inputs/tp_10y_book.png,10,tp,261,4.140625
inputs/tp_10y_book.png,10,tp,262,4.268028846153846
inputs/tp_10y_book.png,10,tp,263,4.280769230769231
inputs/tp_10y_book.png,10,tp,264,4.287139423076923
inputs/tp_10y_book.png,10,tp,265,4.287139423076923
inputs/tp_10y_book.png,10,tp,266,4.287139423076923
inputs/tp_10y_book.png,10,tp,267,4.287139423076923
inputs/tp_10y_book.png,10,tp,268,4.287139423076923
inputs/tp_10y_book.png,10,tp,269,4.280769230769231
inputs/tp_10y_book.png,10,tp,270,4.261658653846154
inputs/tp_10y_book.png,10,tp,271,4.242548076923077
inputs/tp_10y_book.png,10,tp,272,4.229807692307692
inputs/tp_10y_book.png,10,tp,273,4.210697115384615
inputs/tp_10y_book.png,10,tp,274,4.1915865384615385
inputs/tp_10y_book.png,10,tp,275,4.166105769230769
inputs/tp_10y_book.png,10,tp,276,4.140625
inputs/tp_10y_book.png,10,tp,277,4.11514423076923
inputs/tp_10y_book.png,10,tp,278,4.0896634615384615
inputs/tp_10y_book.png,10,tp,279,4.064182692307693
inputs/tp_10y_book.png,10,tp,280,4.038701923076923
inputs/tp_10y_book.png,10,tp,281,4.013221153846153
inputs/tp_10y_book.png,10,tp,282,3.9877403846153845
inputs/tp_10y_book.png,10,tp,283,3.968629807692307
inputs/tp_10y_book.png,10,tp,284,3.943149038461538
inputs/tp_10y_book.png,10,tp,285,3.9240384615384616
inputs/tp_10y_book.png,10,tp,286,3.8985576923076923
inputs/tp_10y_book.png,10,tp,287,3.8858173076923075
inputs/tp_10y_book.png,10,tp,288,3.8921875
inputs/tp_10y_book.png,10,tp,289,3.9240384615384616
inputs/tp_10y_book.png,10,tp,290,3.955889423076923
inputs/tp_10y_book.png,10,tp,291,3.9813701923076925
inputs/tp_10y_book.png,10,tp,292,3.994110576923077
inputs/tp_10y_book.png,10,tp,293,4.006850961538461
inputs/tp_10y_book.png,10,tp,294,4.019591346153846
inputs/tp_10y_book.png,10,tp,295,4.032331730769231
inputs/tp_10y_book.png,10,tp,296,4.045072115384615
inputs/tp_10y_book.png,10,tp,297,4.0578125
inputs/tp_10y_book.png,10,tp,298,4.083293269230769
inputs/tp_10y_book.png,10,tp,299,4.11514423076923
inputs/tp_10y_book.png,10,tp,300,4.146995192307693
inputs/tp_10y_book.png,10,tp,301,4.178846153846154
inputs/tp_10y_book.png,10,tp,302,4.210697115384615
inputs/tp_10y_book.png,10,tp,303,4.236177884615384
inputs/tp_10y_book.png,10,tp,304,4.274399038461538
inputs/tp_10y_book.png,10,tp,305,4.312620192307692
inputs/tp_10y_book.png,10,tp,306,4.350841346153846
inputs/tp_10y_book.png,10,tp,307,4.3954326923076925
inputs/tp_10y_book.png,10,tp,308,4.433653846153846
inputs/tp_10y_book.png,10,tp,309,4.465504807692307
inputs/tp_10y_book.png,10,tp,310,4.478245192307693
inputs/tp_10y_book.png,10,tp,311,4.478245192307693
inputs/tp_10y_book.png,10,tp,312,4.484615384615385
inputs/tp_10y_book.png,10,tp,313,4.484615384615385
inputs/tp_10y_book.png,10,tp,314,4.484615384615385
inputs/tp_10y_book.png,10,tp,315,4.478245192307693
inputs/tp_10y_book.png,10,tp,316,4.478245192307693
inputs/tp_10y_book.png,10,tp,317,4.471875
inputs/tp_10y_book.png,10,tp,318,4.471875
inputs/tp_10y_book.png,10,tp,319,4.471875
inputs/tp_10y_book.png,10,tp,320,4.465504807692307
inputs/tp_10y_book.png,10,tp,321,4.465504807692307
inputs/tp_10y_book.png,10,tp,322,4.452764423076923
inputs/tp_10y_book.png,10,tp,323,4.427283653846153
inputs/tp_10y_book.png,10,tp,324,4.4018028846153845
inputs/tp_10y_book.png,10,tp,325,4.369951923076923
inputs/tp_10y_book.png,10,tp,326,4.331730769230769
inputs/tp_10y_book.png,10,tp,327,4.2998798076923075
inputs/tp_10y_book.png,10,tp,328,4.268028846153846
inputs/tp_10y_book.png,10,tp,329,4.255288461538462
inputs/tp_10y_book.png,10,tp,330,4.248918269230769
inputs/tp_10y_book.png,10,tp,331,4.242548076923077
inputs/tp_10y_book.png,10,tp,332,4.229807692307692
inputs/tp_10y_book.png,10,tp,333,4.217067307692307
inputs/tp_10y_book.png,10,tp,334,4.172475961538462
inputs/tp_10y_book.png,10,tp,335,4.0960336538461535
inputs/tp_10y_book.png,10,tp,336,4.019591346153846
inputs/tp_10y_book.png,10,tp,337,3.9304086538461536
inputs/tp_10y_book.png,10,tp,338,3.834855769230769
inputs/tp_10y_book.png,10,tp,339,3.752043269230769
inputs/tp_10y_book.png,10,tp,340,3.64375
inputs/tp_10y_book.png,10,tp,341,3.5163461538461536
inputs/tp_10y_book.png,10,tp,342,3.369831730769231
inputs/tp_10y_book.png,10,tp,343,3.2042067307692306
inputs/tp_10y_book.png,10,tp,344,3.0513221153846155
inputs/tp_10y_book.png,10,tp,345,2.9111778846153844
inputs/tp_10y_book.png,10,tp,346,2.8219951923076927
inputs/tp_10y_book.png,10,tp,347,2.7901442307692306
inputs/tp_10y_book.png,10,tp,348,2.758293269230769
